STCOFIPS,fips-int,CountyName,State,totalfertN-kg-1987,totalfertN-kg-1992,totalfertN-kg-1997,totalfertN-kg-2002,totalfertN-kg-2007,totalfertN-kg-2012,totalfertN-kg-2017,totalfertP-kg-1987,totalfertP-kg-1992,totalfertP-kg-1997,totalfertP-kg-2002,totalfertP-kg-2007,totalfertP-kg-2012,totalfertP-kg-2017
01001,1001,Autauga,AL,1604074,1621594,1321139,840037,933498,601871,1158774,322107,275334,234775,177378,199457,140451,199301
01003,1003,Baldwin,AL,6591949,6508622,4792708,5128082,5567374,4046145,6052763,1323999,1102601,850655,1077354,1190640,923906,961765
01005,1005,Barbour,AL,2427026,3003326,1599304,4178966,1429801,598046,1120965,487571,506711,282044,873098,306000,135251,179001
01007,1007,Bibb,AL,313829,457174,230044,180936,163336,149689,470850,62973,77892,41521,38518,34832,35325,79988
01009,1009,Blount,AL,1852866,1802935,1337706,1444581,1508876,656884,1736976,372063,306230,238202,303944,322633,152886,297189
01011,1011,Bullock,AL,773100,713128,615695,557059,723250,415744,686574,155301,120500,108517,116585,154815,93149,118745
01013,1013,Butler,AL,1090265,998520,634668,521565,586885,265238,591081,218960,169197,112542,109536,125550,60624,99003
01015,1015,Calhoun,AL,900664,865598,977863,1374021,1136600,469673,1064154,179775,157409,183975,293384,242160,122015,211223
01017,1017,Chambers,AL,466743,643497,533385,569833,756610,464299,787618,93516,110929,96270,120458,161759,106732,137309
01019,1019,Cherokee,AL,2388760,2627912,1837263,1472500,2197725,1865568,2856620,479911,443217,323487,308205,470435,417093,725913
01021,1021,Chilton,AL,1269296,1622905,1298658,1414388,1070950,334300,692918,254854,275222,230314,296878,229005,79001,123482
01023,1023,Choctaw,AL,444661,352341,328855,186752,219470,89322,194267,89272,60072,58478,39421,46926,20801,26006
01025,1025,Clarke,AL,445067,384562,302292,255204,340704,148627,422557,89289,66153,54551,54123,72812,34953,57078
01027,1027,Clay,AL,549432,419995,374044,612422,438147,186673,532142,110338,71359,66344,128261,93744,42543,73452
01029,1029,Cleburne,AL,383472,243094,253346,348589,394887,175900,393339,76991,41583,45197,73224,84472,40322,60853
01031,1031,Coffee,AL,2509004,3157935,2773837,2303838,2500259,1664044,2139710,503898,534150,489432,482692,535019,375627,413984
01033,1033,Colbert,AL,2533692,2155166,1902786,1834309,2121505,2872686,3536179,508735,366717,338127,385419,453830,644872,730201
01035,1035,Conecuh,AL,1146660,1241504,793427,992324,915600,405865,1104697,230350,209511,139788,207477,195994,91109,166152
01037,1037,Coosa,AL,187152,150416,155788,115103,137959,44651,152204,37553,25850,27932,24363,29483,10712,21984
01039,1039,Covington,AL,2406163,2975751,2457403,2986663,2532767,1505544,2268091,483296,502775,433107,624605,542110,338045,374816
01041,1041,Crenshaw,AL,1275942,1499827,1046378,913640,677282,443535,733831,256328,252981,184144,191094,144951,99689,109367
01043,1043,Cullman,AL,1895734,2395432,2202776,2768771,2947057,1191912,2242249,380412,408651,392662,581734,630362,275024,460271
01045,1045,Dale,AL,2028101,2288309,1483543,1753651,1485030,882325,1743757,407148,388924,264162,368318,317581,202120,327337
01047,1047,Dallas,AL,2232313,2022790,1562872,1331704,1480983,1171072,2252133,448237,343463,277215,279681,316827,264369,418032
01049,1049,DeKalb,AL,3367568,2852567,2928973,2782934,3443084,1497966,3641029,676311,484141,518316,583869,736697,341452,655201
01051,1051,Elmore,AL,1918182,1684430,1881866,1318834,1607079,698049,1391749,385097,287445,335042,278720,343426,165736,226988
01053,1053,Escambia,AL,2195132,1730066,2020548,1347010,2409917,1358435,2446680,440880,293274,356629,282560,515795,305454,390197
01055,1055,Etowah,AL,1029168,1050564,1111919,1105816,1059041,576230,1248283,205784,186915,206023,236993,225682,143723,244070
01057,1057,Fayette,AL,532536,553039,621809,424538,733061,394057,997605,106905,94074,110095,89225,156869,88990,170707
01059,1059,Franklin,AL,829207,1044237,923580,867728,887146,625844,971564,166443,177526,164022,182312,189752,142257,173588
01061,1061,Geneva,AL,3834010,3805926,3503696,3296998,2642142,1968910,2818066,770298,641693,615746,689020,565591,440201,557216
01063,1063,Greene,AL,509509,509321,482379,465338,377701,110349,228278,102336,86159,85045,97387,80833,25125,35978
01065,1065,Hale,AL,1030546,845981,603472,630867,860463,233431,778246,207009,143165,106723,132265,184160,53108,110256
01067,1067,Henry,AL,3161882,4059099,2126422,2528955,1979188,1636732,2207507,635301,683600,373606,528309,423707,365229,454582
01069,1069,Houston,AL,4287410,4975824,4409202,5431070,4571732,3351048,4455882,860819,844767,781345,1138502,977969,759911,853139
01071,1071,Jackson,AL,2603117,2835954,2792752,2584359,3471075,1722058,3488089,522782,480220,493072,541464,742904,387927,678591
01073,1073,Jefferson,AL,1293237,1408710,1561173,1263717,1701659,951292,1417398,250435,331715,373749,320017,354713,350303,338848
01075,1075,Lamar,AL,568679,572070,489087,407528,346261,157540,309111,114184,97096,86647,85552,74061,36153,56626
01077,1077,Lauderdale,AL,3262894,3219935,2851895,2359659,3746082,2917978,3919976,654987,548796,507860,497034,801313,660806,801776
01079,1079,Lawrence,AL,3449158,2926542,2686865,3671172,3697668,3126577,4816582,692911,494364,473247,767502,791557,698164,947159
01081,1081,Lee,AL,720763,937217,577242,1425070,1851934,932916,2385494,144075,166330,112277,304602,395119,230990,379804
01083,1083,Limestone,AL,4219621,4297326,4439794,3892954,6157327,3917643,5644679,847529,727499,783614,815857,1317784,882730,1115216
01085,1085,Lowndes,AL,1237041,1086335,944910,1232278,958376,490863,1147156,248522,183349,166281,257561,205161,109845,160125
01087,1087,Macon,AL,1067129,1087291,747215,872972,1104113,539698,1362854,214275,184476,132534,183065,236288,121768,261953
01089,1089,Madison,AL,4693671,5175110,4172911,4188272,5067744,3720885,5478794,940615,900558,765174,894943,1081048,892286,1018504
01091,1091,Marengo,AL,1290201,1143479,939029,485250,738723,353291,773762,259137,193583,165873,101975,158067,80087,120565
01093,1093,Marion,AL,1067665,1229579,823053,474911,782842,302717,520363,214354,208721,146391,100264,167427,70141,93799
01095,1095,Marshall,AL,1743940,1814401,1471587,1502821,1939628,824622,1728497,349832,311688,265648,318143,414470,196555,326214
01097,1097,Mobile,AL,3150033,4372103,3100085,3829072,4872679,2215352,4397047,628473,781241,593022,827327,1038392,565536,733973
01099,1099,Monroe,AL,1590381,1939447,2186199,1822021,1863742,1258803,2035128,319466,327514,384534,380991,398960,281517,360610
01101,1101,Montgomery,AL,1593335,1812227,1445677,1658446,1482082,707672,1457623,317845,329299,280309,361313,314651,196367,292353
01103,1103,Morgan,AL,1671654,2073120,1632606,1413845,2068764,1125892,1933024,334973,358978,297660,301776,441757,268575,407319
01105,1105,Perry,AL,1090430,1046814,777390,717404,643495,494773,949867,219052,176669,136863,150042,137741,110653,147427
